refYear,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qty,primaryValue
2021,USA,Export,Bermuda,282520,Lithium oxide and hydroxide,612,109296
2021,USA,Export,Brazil,282520,Lithium oxide and hydroxide,18,4034
2021,USA,Export,Canada,282520,Lithium oxide and hydroxide,693159,4242829
2021,USA,Export,Chile,282520,Lithium oxide and hydroxide,5802,104565
2021,USA,Export,China,282520,Lithium oxide and hydroxide,37,14868
2021,USA,Export,Colombia,282520,Lithium oxide and hydroxide,1000,21180
2021,USA,Export,Costa Rica,282520,Lithium oxide and hydroxide,200,11996
2021,USA,Export,Ecuador,282520,Lithium oxide and hydroxide,4353,34218
2021,USA,Export,France,282520,Lithium oxide and hydroxide,170,261201
2021,USA,Export,Germany,282520,Lithium oxide and hydroxide,766735,9252993
2021,USA,Export,Greece,282520,Lithium oxide and hydroxide,1886,213180
2021,USA,Export,Guatemala,282520,Lithium oxide and hydroxide,1777,102255
2021,USA,Export,Japan,282520,Lithium oxide and hydroxide,4845587,55493606
2021,USA,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,628036.043,7137146
2021,USA,Export,Malaysia,282520,Lithium oxide and hydroxide,450,6525
2021,USA,Export,Mexico,282520,Lithium oxide and hydroxide,23000,244950
2021,USA,Export,"Other Asia, nes",282520,Lithium oxide and hydroxide,59288,731700
2021,USA,Export,Netherlands,282520,Lithium oxide and hydroxide,741,123522
2021,USA,Export,Norway,282520,Lithium oxide and hydroxide,2,2615
2021,USA,Export,Philippines,282520,Lithium oxide and hydroxide,0,3869
2021,USA,Export,Poland,282520,Lithium oxide and hydroxide,114,25250
2021,USA,Export,Portugal,282520,Lithium oxide and hydroxide,3504,412960
2021,USA,Export,Saudi Arabia,282520,Lithium oxide and hydroxide,144003,981177
2021,USA,Export,Singapore,282520,Lithium oxide and hydroxide,81226,951163
2021,USA,Export,South Africa,282520,Lithium oxide and hydroxide,2315,239532
2021,USA,Export,Spain,282520,Lithium oxide and hydroxide,564,64980
2021,USA,Export,Sweden,282520,Lithium oxide and hydroxide,17,2746
2021,USA,Export,Switzerland,282520,Lithium oxide and hydroxide,15,5346
2021,USA,Export,Thailand,282520,Lithium oxide and hydroxide,80000,863400
2021,USA,Export,United Arab Emirates,282520,Lithium oxide and hydroxide,4177,151242
2021,USA,Export,Egypt,282520,Lithium oxide and hydroxide,43545,370131
2021,USA,Export,United Kingdom,282520,Lithium oxide and hydroxide,51627,3741544
2022,Brazil,Export,Switzerland,282520,Lithium oxide and hydroxide,1,68
2022,Canada,Export,France,282520,Lithium oxide and hydroxide,7200,1366448.825
2022,Canada,Export,United Kingdom,282520,Lithium oxide and hydroxide,117628,260410.86
2022,Canada,Export,USA,282520,Lithium oxide and hydroxide,9072,63720.714
2022,Chile,Export,Argentina,282520,Lithium oxide and hydroxide,72000,3531393.12
2022,Chile,Export,Belgium,282520,Lithium oxide and hydroxide,550000,23607875.88
2022,Chile,Export,Bolivia (Plurinational State of),282520,Lithium oxide and hydroxide,40,4975.451
2022,Chile,Export,Canada,282520,Lithium oxide and hydroxide,250,9750
2022,Chile,Export,China,282520,Lithium oxide and hydroxide,407004,26857503.5
2022,Chile,Export,Colombia,282520,Lithium oxide and hydroxide,22000,1315819.57
2022,Chile,Export,Japan,282520,Lithium oxide and hydroxide,452000,22515856.25
2022,Chile,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,12168666,430814121.7
2022,Chile,Export,Mexico,282520,Lithium oxide and hydroxide,20000,994562.96
2022,Chile,Export,Peru,282520,Lithium oxide and hydroxide,5002,394156.69
2022,Chile,Export,South Africa,282520,Lithium oxide and hydroxide,80000,4034330.11
2022,Chile,Export,USA,282520,Lithium oxide and hydroxide,1436187,71148384.65
2022,China,Export,Australia,282520,Lithium oxide and hydroxide,4450,161043
2022,China,Export,Bangladesh,282520,Lithium oxide and hydroxide,2400,200880
2022,China,Export,Brazil,282520,Lithium oxide and hydroxide,801,69959
2022,China,Export,Canada,282520,Lithium oxide and hydroxide,10000,752415
2022,China,Export,Croatia,282520,Lithium oxide and hydroxide,1000,85000
2022,China,Export,Germany,282520,Lithium oxide and hydroxide,1200,75535
2022,China,Export,"China, Hong Kong SAR",282520,Lithium oxide and hydroxide,20000.861,127107
2022,China,Export,Indonesia,282520,Lithium oxide and hydroxide,59560,1187189
2022,China,Export,Iran,282520,Lithium oxide and hydroxide,20000,641800
2022,China,Export,Japan,282520,Lithium oxide and hydroxide,31787522,820178662
2022,China,Export,Rep. of Korea,282520,Lithium oxide and hydroxide,58991640,2982625646
2022,China,Export,Malaysia,282520,Lithium oxide and hydroxide,1500,118750
2022,China,Export,Mexico,282520,Lithium oxide and hydroxide,27050,1870253
2022,China,Export,"Other Asia, nes",282520,Lithium oxide and hydroxide,224892.629,14532184
2022,China,Export,Netherlands,282520,Lithium oxide and hydroxide,80000,847240
2022,China,Export,Pakistan,282520,Lithium oxide and hydroxide,1450,95600
2022,China,Export,Philippines,282520,Lithium oxide and hydroxide,10000,628420
2022,China,Export,Russian Federation,282520,Lithium oxide and hydroxide,40000,2768610
2022,China,Export,Saudi Arabia,282520,Lithium oxide and hydroxide,69500,4249678
2022,China,Export,India,282520,Lithium oxide and hydroxide,91252,5073624
2022,China,Export,Singapore,282520,Lithium oxide and hydroxide,142700,8105334
2022,China,Export,Viet Nam,282520,Lithium oxide and hydroxide,3600,178873
2022,China,Export,Slovenia,282520,Lithium oxide and hydroxide,1800,152276
2022,China,Export,Sweden,282520,Lithium oxide and hydroxide,1548031,47917746
2022,China,Export,Thailand,282520,Lithium oxide and hydroxide,130500,8931532
2022,China,Export,United Arab Emirates,282520,Lithium oxide and hydroxide,178000,5294483
2022,China,Export,United Kingdom,282520,Lithium oxide and hydroxide,400,37190
2022,China,Export,USA,282520,Lithium oxide and hydroxide,1585,86013
2022,USA,Export,Argentina,282520,Lithium oxide and hydroxide,286400,2983976
2022,USA,Export,Australia,282520,Lithium oxide and hydroxide,15000,356250
2022,USA,Export,Belgium,282520,Lithium oxide and hydroxide,139137,5195180
2022,USA,Export,Bolivia (Plurinational State of),282520,Lithium oxide and hydroxide,155,11377
2022,USA,Export,Canada,282520,Lithium oxide and hydroxide,912336,8817329
2022,USA,Export,Chile,282520,Lithium oxide and hydroxide,151,20689
2022,USA,Export,China,282520,Lithium oxide and hydroxide,1402570,21971729
