typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","50","BGD","Bangladesh","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","8","kg","1000","false","1000","false","0","false",,"50500","50500","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","76","BRA","Brazil","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28000","false","8","kg","28000","false","28000","false","0","false",,"902185","902185","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","124","CAN","Canada","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","27000","false","8","kg","27000","false","27000","false","0","false",,"721800","721800","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","152","CHL","Chile","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9000","false","8","kg","9000","false","9000","false","0","false",,"227610","227610","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","170","COL","Colombia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false",,"80640","80640","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","191","HRV","Croatia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1600","false","8","kg","1600","false","1600","false","0","false",,"91090","91090","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","203","CZE","Czechia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false",,"1","1","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","218","ECU","Ecuador","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","8","kg","1000","false","1000","false","0","false",,"35000","35000","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","251","FRA","France","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10001","false","8","kg","10001","false","10001","false","0","false",,"350001","350001","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","899711","false","8","kg","899711","false","899711","false","0","false",,"33956035","33956035","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","360","IDN","Indonesia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","94800","false","8","kg","94800","false","94800","false","0","false",,"3623630","3623630","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","364","IRN","Iran","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8000","false","8","kg","8000","false","8000","false","0","false",,"343063","343063","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","376","ISR","Israel","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8000","false","8","kg","8000","false","8000","false","0","false",,"264000","264000","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","380","ITA","Italy","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","500","false","8","kg","500","false","500","false","0","false",,"48468","48468","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30958311","false","8","kg","30958311","false","30958311","false","0","false",,"1503302936","1503302936","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","404","KEN","Kenya","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false",,"92245","92245","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93655700","false","8","kg","93655700","false","93655700","false","0","false",,"4455982245","4455982245","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","414","KWT","Kuwait","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","8","kg","1000","false","1000","false","0","false",,"35758","35758","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","440","LTU","Lithuania","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","8","kg","1000","false","1000","false","0","false",,"31400","31400","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","458","MYS","Malaysia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6350","false","8","kg","6350","false","6350","false","0","false",,"214867","214867","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","484","MEX","Mexico","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47721","false","8","kg","47721","false","47721","false","0","false",,"2532712","2532712","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","131825","false","8","kg","131825","false","131825","false","0","false",,"6296115","6296115","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","504","MAR","Morocco","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6000","false","8","kg","6000","false","6000","false","0","false",,"273000","273000","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","528","NLD","Netherlands","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81000","false","8","kg","81000","false","81000","false","0","false",,"2884203","2884203","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","586","PAK","Pakistan","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11100","false","8","kg","11100","false","11100","false","0","false",,"304950","304950","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","604","PER","Peru","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3000","false","8","kg","3000","false","3000","false","0","false",,"233751","233751","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","608","PHL","Philippines","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","47000","false","8","kg","47000","false","47000","false","0","false",,"2679904","2679904","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","643","RUS","Russian Federation","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150000","false","8","kg","150000","false","150000","false","0","false",,"7725016","7725016","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","8","kg","20000","false","20000","false","0","false",,"1324089","1324089","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","699","IND","India","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","169595","false","8","kg","169595","false","169595","false","0","false",,"4439561","4439561","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","702","SGP","Singapore","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","272150","false","8","kg","272150","false","272150","false","0","false",,"13364272","13364272","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","704","VNM","Viet Nam","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10000","false","8","kg","10000","false","10000","false","0","false",,"298368","298368","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","752","SWE","Sweden","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2880077","false","8","kg","2880077","false","2880077","false","0","false",,"156246413","156246413","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","764","THA","Thailand","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","147975","false","8","kg","147975","false","147975","false","0","false",,"6593625","6593625","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","201000","false","8","kg","201000","false","201000","false","0","false",,"6444382","6444382","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","788","TUN","Tunisia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6000","false","8","kg","6000","false","6000","false","0","false",,"482409","482409","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","792","TUR","Türkiye","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","75000","false","8","kg","75000","false","75000","false","0","false",,"3229950","3229950","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","818","EGY","Egypt","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12000","false","8","kg","12000","false","12000","false","0","false",,"357185","357185","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","842","USA","USA","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17662","false","8","kg","17662","false","17662","false","0","false",,"722336","722336","0","true","false",
"C","A","20230101","2023","52","2023","156","CHN","China","X","Export","860","UZB","Uzbekistan","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2000","false","8","kg","2000","false","2000","false","0","false",,"104920","104920","0","true","false",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2302","false","8","kg","2302","false","2302","false","0","false",,"251387","251387","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","233","EST","Estonia","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false",,"16740","16740","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","276","DEU","Germany","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1550","false","8","kg","1550","false","1550","false","0","false",,"171444","171444","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","710","ZAF","South Africa","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","500","false","8","kg","500","false","500","false","0","false",,"62744","62744","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","792","TUR","Türkiye","0","W00","World","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false",,"459","459","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","0","W00","World","899","_X ","Areas, nes","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2302","false","8","kg","2302","false","2302","false","0","false",,"251387","251387","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","233","EST","Estonia","899","_X ","Areas, nes","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false",,"16740","16740","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","276","DEU","Germany","899","_X ","Areas, nes","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1550","false","8","kg","1550","false","1550","false","0","false",,"171444","171444","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","710","ZAF","South Africa","899","_X ","Areas, nes","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","500","false","8","kg","500","false","500","false","0","false",,"62744","62744","0","false","true",
"C","A","20230101","2023","52","2023","203","CZE","Czechia","X","Export","792","TUR","Türkiye","899","_X ","Areas, nes","H6","HS","true","282520","Lithium oxide and hydroxide","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false",,"459","459","0","false","true",
